size,type,algorithm,time_us,comparisons
2900,random,string_quicksort,1081,34350
2900,random,string_mergesort,3340,3481
2900,random,msd_radix,1977,0
2900,random,msd_radix_switch,1039,10715
3000,random,quicksort,6992,509631
3000,random,mergesort,2998,44602
3000,random,string_quicksort,1115,35405
3000,random,string_mergesort,3473,3621
3000,random,msd_radix,2090,0
3000,random,msd_radix_switch,1093,11311
100,reverse,quicksort,213,18322
100,reverse,mergesort,43,592
100,reverse,string_quicksort,19,562
100,reverse,string_mergesort,57,119
100,reverse,msd_radix,58,0
100,reverse,msd_radix_switch,28,346
200,reverse,quicksort,455,39288
200,reverse,mergesort,93,1299
200,reverse,string_quicksort,40,1252
200,reverse,string_mergesort,115,240
200,reverse,msd_radix,125,0
200,reverse,msd_radix_switch,58,698
300,reverse,quicksort,688,57514
300,reverse,mergesort,156,2082
300,reverse,string_quicksort,63,1958
300,reverse,string_mergesort,193,363
300,reverse,msd_radix,194,0
300,reverse,msd_radix_switch,86,1080
400,reverse,quicksort,895,77810
400,reverse,mergesort,214,2850
400,reverse,string_quicksort,88,2749
400,reverse,string_mergesort,252,482
400,reverse,msd_radix,255,0
400,reverse,msd_radix_switch,117,1450
500,reverse,quicksort,1108,92767
500,reverse,mergesort,281,3724
500,reverse,string_quicksort,115,3658
500,reverse,string_mergesort,337,604
500,reverse,msd_radix,331,0
500,reverse,msd_radix_switch,145,1828
600,reverse,quicksort,1313,112968
600,reverse,mergesort,341,4431
600,reverse,string_quicksort,147,4420
600,reverse,string_mergesort,405,726
600,reverse,msd_radix,393,0
600,reverse,msd_radix_switch,179,2188
700,reverse,quicksort,1638,134264
700,reverse,mergesort,410,5216
700,reverse,string_quicksort,175,5362
700,reverse,string_mergesort,483,842
700,reverse,msd_radix,447,0
700,reverse,msd_radix_switch,210,2549
800,reverse,quicksort,1900,154363
800,reverse,mergesort,478,6105
800,reverse,string_quicksort,207,6223
800,reverse,string_mergesort,565,964
800,reverse,msd_radix,512,0
800,reverse,msd_radix_switch,241,2941
900,reverse,quicksort,2002,166607
900,reverse,mergesort,559,6968
900,reverse,string_quicksort,237,7179
900,reverse,string_mergesort,657,1081
900,reverse,msd_radix,609,0
900,reverse,msd_radix_switch,280,3285
1000,reverse,quicksort,2264,191906
