size,type,algorithm,time_us,comparisons
2900,random,mergesort,2951,42593
2900,random,string_quicksort,1043,31974
2900,random,string_mergesort,3366,3488
2900,random,msd_radix,2952,0
2900,random,msd_radix_switch,996,13589
3000,random,quicksort,6813,516159
3000,random,mergesort,3029,44411
3000,random,string_quicksort,1101,34747
3000,random,string_mergesort,3499,3627
3000,random,msd_radix,3194,0
3000,random,msd_radix_switch,1064,14107
100,reverse,quicksort,247,18268
100,reverse,mergesort,50,595
100,reverse,string_quicksort,21,567
100,reverse,string_mergesort,73,122
100,reverse,msd_radix,145,0
100,reverse,msd_radix_switch,31,351
200,reverse,quicksort,441,37529
200,reverse,mergesort,93,1316
200,reverse,string_quicksort,41,1282
200,reverse,string_mergesort,113,241
200,reverse,msd_radix,222,0
200,reverse,msd_radix_switch,61,709
300,reverse,quicksort,716,57417
300,reverse,mergesort,161,2113
300,reverse,string_quicksort,66,2028
300,reverse,string_mergesort,189,362
300,reverse,msd_radix,326,0
300,reverse,msd_radix_switch,90,1085
400,reverse,quicksort,925,75827
400,reverse,mergesort,216,2819
400,reverse,string_quicksort,87,2747
400,reverse,string_mergesort,259,474
400,reverse,msd_radix,418,0
400,reverse,msd_radix_switch,124,1446
500,reverse,quicksort,1096,91850
500,reverse,mergesort,280,3768
500,reverse,string_quicksort,115,3614
500,reverse,string_mergesort,342,599
500,reverse,msd_radix,529,0
500,reverse,msd_radix_switch,149,1844
600,reverse,quicksort,1322,110993
600,reverse,mergesort,346,4434
600,reverse,string_quicksort,144,4446
600,reverse,string_mergesort,409,717
600,reverse,msd_radix,623,0
600,reverse,msd_radix_switch,191,2209
700,reverse,quicksort,1537,128790
700,reverse,mergesort,418,5187
700,reverse,string_quicksort,172,5424
700,reverse,string_mergesort,494,843
700,reverse,msd_radix,739,0
700,reverse,msd_radix_switch,208,2579
800,reverse,quicksort,1778,151363
800,reverse,mergesort,488,6128
800,reverse,string_quicksort,196,6254
800,reverse,string_mergesort,584,962
800,reverse,msd_radix,841,0
800,reverse,msd_radix_switch,240,2964
900,reverse,quicksort,1982,169510
900,reverse,mergesort,565,7006
900,reverse,string_quicksort,226,7142
900,reverse,string_mergesort,658,1087
900,reverse,msd_radix,921,0
900,reverse,msd_radix_switch,299,3358
1000,reverse,quicksort,2186,188064
1000,reverse,mergesort,629,8067
1000,reverse,string_quicksort,259,8190
1000,reverse,string_mergesort,739,1207
1000,reverse,msd_radix,1031,0
1000,reverse,msd_radix_switch,316,3709
1100,reverse,quicksort,2471,213282
1100,reverse,mergesort,699,8790
1100,reverse,string_quicksort,290,8989
1100,reverse,string_mergesort,807,1327
1100,reverse,msd_radix,1138,0
1100,reverse,msd_radix_switch,346,4064
1200,reverse,quicksort,2631,223624
1200,reverse,mergesort,766,9546
1200,reverse,string_quicksort,315,10020
1200,reverse,string_mergesort,910,1443
1200,reverse,msd_radix,1216,0
1200,reverse,msd_radix_switch,367,4419
1300,reverse,quicksort,2860,243007
1300,reverse,mergesort,843,10272
1300,reverse,string_quicksort,349,10986
1300,reverse,string_mergesort,964,1563
1300,reverse,msd_radix,1320,0
1300,reverse,msd_radix_switch,394,4784
1400,reverse,quicksort,3130,265215
1400,reverse,mergesort,915,11103
1400,reverse,string_quicksort,390,12010
1400,reverse,string_mergesort,1059,1685
1400,reverse,msd_radix,1435,0
1400,reverse,msd_radix_switch,432,5170
1500,reverse,quicksort,3328,285476
1500,reverse,mergesort,998,12123
1500,reverse,string_quicksort,398,12873
1500,reverse,string_mergesort,1142,1815
1500,reverse,msd_radix,1538,0
1500,reverse,msd_radix_switch,472,5546
1600,reverse,quicksort,3580,306971
1600,reverse,mergesort,1076,13032
1600,reverse,string_quicksort,431,13991
1600,reverse,string_mergesort,1233,1935
1600,reverse,msd_radix,1638,0
1600,reverse,msd_radix_switch,511,5923
1700,reverse,quicksort,4098,328428
1700,reverse,mergesort,1136,13859
1700,reverse,string_quicksort,479,15055
1700,reverse,string_mergesort,1298,2057
1700,reverse,msd_radix,1754,0
1700,reverse,msd_radix_switch,536,6270
1800,reverse,quicksort,4267,343525
1800,reverse,mergesort,1223,14918
1800,reverse,string_quicksort,497,15845
1800,reverse,string_mergesort,1380,2177
1800,reverse,msd_radix,1843,0
1800,reverse,msd_radix_switch,556,6653
1900,reverse,quicksort,4254,360698
1900,reverse,mergesort,1318,15912
1900,reverse,string_quicksort,524,16945
1900,reverse,string_mergesort,1453,2296
1900,reverse,msd_radix,1958,0
1900,reverse,msd_radix_switch,581,7008
2000,reverse,quicksort,4426,374967
2000,reverse,mergesort,1377,17126
2000,reverse,string_quicksort,586,18180
2000,reverse,string_mergesort,1541,2417
2000,reverse,msd_radix,2063,0
2000,reverse,msd_radix_switch,636,7366
2100,reverse,quicksort,4742,403452
2100,reverse,mergesort,1478,17881
2100,reverse,string_quicksort,602,18937
2100,reverse,string_mergesort,1643,2531
2100,reverse,msd_radix,2149,0
2100,reverse,msd_radix_switch,670,7720
2200,reverse,quicksort,4961,424142
2200,reverse,mergesort,1514,18685
2200,reverse,string_quicksort,648,20261
2200,reverse,string_mergesort,1738,2658
2200,reverse,msd_radix,2269,0
2200,reverse,msd_radix_switch,700,8099
2300,reverse,quicksort,5195,442474
2300,reverse,mergesort,1627,19336
2300,reverse,string_quicksort,660,21226
2300,reverse,string_mergesort,1798,2783
2300,reverse,msd_radix,2382,0
